"County","Days18","BadDays18","Days19","BadDays19","Days20","BadDays20","BadDaysRate"
"Albany",365,73,365,43,365,59,15.9817351598174
"Bronx",365,79,365,85,366,75,21.8065693430657
"Chautauqua",358,51,343,28,363,25,9.77443609022556
"Dutchess",349,22,331,12,331,9,4.25321463897132
"Erie",365,89,365,55,366,49,17.6094890510949
"Essex",365,46,364,33,365,15,8.59232175502742
"Hamilton",352,11,323,2,357,3,1.55038759689922
"Jefferson",329,22,205,7,360,15,4.92170022371365
"Kings",365,35,365,30,365,27,8.40182648401827
"Monroe",365,64,365,44,366,43,13.7773722627737
"Nassau",365,25,360,19,361,17,5.61694290976059
"New York",365,110,365,72,366,55,21.6240875912409
"Niagara",320,26,352,13,359,19,5.62560620756547
"Oneida",364,17,355,10,349,15,3.93258426966292
"Onondaga",364,46,365,28,364,28,9.33211344922232
"Orange",365,42,365,22,366,24,8.02919708029197
"Oswego",350,26,321,5,359,10,3.98058252427184
"Putnam",337,20,329,16,314,6,4.28571428571429
"Queens",365,77,365,73,366,68,19.8905109489051
"Richmond",363,77,365,51,364,45,15.8424908424908
"Rockland",365,45,365,30,366,26,9.21532846715328
"Saratoga",361,20,331,3,319,4,2.67062314540059
"Steuben",363,35,365,16,365,9,5.48947849954254
"Suffolk",365,65,365,65,366,57,17.0620437956204
"Tompkins",360,28,356,7,364,5,3.7037037037037
"Wayne",239,29,268,15,327,22,7.9136690647482
"Westchester",365,49,365,35,363,36,10.9789569990851
