,,,,,,,,,,,,
,,,,,,,,,,,,
County Name,Priority Area Number,Priority Area,Indicator Number,Indicator,Event Count/Rate, ,Percentage/Rate/Ratio,Lower Limit of 95% CI,Upper Limit of 95% CI,Data Comments,Data Years,Date Source
Albany,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",448,"15,499",96.4,,,,2018-2020,SPARCS data as of August 2022
Allegany,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",19,"2,405",26.3,,,,2018-2020,SPARCS data as of August 2022
Broome,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",145,"10,131",47.7,,,,2018-2020,SPARCS data as of August 2022
Cattaraugus,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",66,"4,370",50.3,,,,2018-2020,SPARCS data as of August 2022
Cayuga,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",50,"3,867",43.1,,,,2018-2020,SPARCS data as of August 2022
Chautauqua,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",123,"6,987",58.7,,,,2018-2020,SPARCS data as of August 2022
Chemung,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",77,"4,673",54.9,,,,2018-2020,SPARCS data as of August 2022
Chenango,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",16,"2,539",21,,,,2018-2020,SPARCS data as of August 2022
Clinton,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",44,"3,866",37.9,,,,2018-2020,SPARCS data as of August 2022
Columbia,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",55,"2,454",74.7,,,,2018-2020,SPARCS data as of August 2022
