"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Statistical Area- Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Combined Statistical Area","New England City and Town Area Division","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – 5% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","Urban Area Central Place","Voting District","ZIP Code Tabulation Area (3-digit)","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 1% File","Total Population","Area Total:","Area Total: Area (Land)","Area Total: Area (Water)","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"ACSSF","us","860","00","0013325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10301",,,,,,,,"86000US10301","ZCTA 10301",,,"ZCTA 10301","10310301","9189257","12647",,,,"103",,,,38001,3.552875,3.547992,0.004883034,38001,21927,8300,25,3009,6,1884,2850
"ACSSF","us","860","00","0013326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10302",,,,,,,,"86000US10302","ZCTA 10302",,,"ZCTA 10302","10310302","3079086","0",,,,"103",,,,17942,1.188842,1.188842,0,17942,9247,4584,163,1211,18,1953,766
"ACSSF","us","860","00","0013327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10303",,,,,,,,"86000US10303","ZCTA 10303",,,"ZCTA 10303","10310303","8141997","73294",,,,"103",,,,27164,3.171942,3.143643,0.02829897,27164,11474,8918,57,2071,0,2508,2136
"ACSSF","us","860","00","0013328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10304",,,,,,,,"86000US10304","ZCTA 10304",,,"ZCTA 10304","10310304","9655858","19194",,,,"103",,,,42133,3.735559,3.728148,0.007410845,42133,21822,11931,42,4063,28,3055,1192
"ACSSF","us","860","00","0013329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10305",,,,,,,,"86000US10305","ZCTA 10305",,,"ZCTA 10305","10310305","10304612","44453",,,,"103",,,,42968,3.995796,3.978633,0.0171634,42968,29468,2889,59,7404,16,1543,1589
"ACSSF","us","860","00","0013330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10306",,,,,,,,"86000US10306","ZCTA 10306",,,"ZCTA 10306","10310306","19359801","152157",,,,"103",,,,54318,7.533609,7.474861,0.05874815,54318,43058,1874,125,4696,0,1397,3168
"ACSSF","us","860","00","0013331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10307",,,,,,,,"86000US10307","ZCTA 10307",,,"ZCTA 10307","10310307","4764129","18350",,,,"103",,,,15053,1.846526,1.839441,0.007084975,15053,13834,17,0,691,0,152,359
"ACSSF","us","860","00","0013332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10308",,,,,,,,"86000US10308","ZCTA 10308",,,"ZCTA 10308","10310308","5097991","12014",,,,"103",,,,28901,1.972984,1.968345,0.004638631,28901,26378,463,24,1548,0,174,314
"ACSSF","us","860","00","0013333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10309",,,,,,,,"86000US10309","ZCTA 10309",,,"ZCTA 10309","10310309","17239616","102043",,,,"103",,,,33896,6.695652,6.656253,0.03939902,33896,31759,200,128,806,0,595,408
