"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Statistical Area- Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Combined Statistical Area","New England City and Town Area Division","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – 5% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","Urban Area Central Place","Voting District","ZIP Code Tabulation Area (3-digit)","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 1% File","Total Population","Area Total:","Area Total: Area (Land)","Area Total: Area (Water)","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"ACSSF","ny","050","00","0000013",,,,,"36","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36001","Albany County",,,"Albany County, New York","36001","1354273421","26971925",,,,,,,,306165,533.3018,522.8879,10.41392,306165,227078,37645,422,20849,98,4772,15301
"ACSSF","ny","050","00","0000014",,,,,"36","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36003","Allegany County",,,"Allegany County, New York","36003","2666225086","12989848",,,,,,,,46304,1034.451,1029.435,5.015409,46304,44175,757,101,484,26,142,619
"ACSSF","ny","050","00","0000015",,,,,"36","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36005","Bronx County",,,"Bronx County, New York","36005","109224611","39362153",,,,,,,,1427056,57.36967,42.17186,15.19781,1427056,306569,497301,9539,55362,1786,459756,96743
"ACSSF","ny","050","00","0000016",,,,,"36","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36007","Broome County",,,"Broome County, New York","36007","1827594819","25109986",,,,,,,,192042,715.3334,705.6384,9.695021,192042,162553,10219,359,8522,138,2531,7720
"ACSSF","ny","050","00","0000017",,,,,"36","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36009","Cattaraugus County",,,"Cattaraugus County, New York","36009","3388125876","36783591",,,,,,,,76750,1322.365,1308.163,14.20222,76750,70260,1147,2462,541,0,458,1882
"ACSSF","ny","050","00","0000018",,,,,"36","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36011","Cayuga County",,,"Cayuga County, New York","36011","1791190744","445707952",,,,,,,,76958,863.6714,691.5826,172.0888,76958,70048,2997,98,479,51,603,2682
"ACSSF","ny","050","00","0000019",,,,,"36","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36013","Chautauqua County",,,"Chautauqua County, New York","36013","2746454150","1139025723",,,,,,,,127584,1500.192,1060.412,439.7803,127584,116046,3437,332,679,59,3195,3836
"ACSSF","ny","050","00","0000020",,,,,"36","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36015","Chemung County",,,"Chemung County, New York","36015","1054988422","8875327",,,,,,,,84115,410.7601,407.3333,3.426783,84115,73504,4992,322,1270,4,490,3533
"ACSSF","ny","050","00","0000021",,,,,"36","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36017","Chenango County",,,"Chenango County, New York","36017","2314393901","13046917",,,,,,,,47527,898.6299,893.5925,5.037443,47527,45462,391,111,193,17,300,1053
"ACSSF","ny","050","00","0000022",,,,,"36","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36019","Clinton County",,,"Clinton County, New York","36019","2687763026","206582007",,,,,,,,80320,1117.513,1037.751,79.76176,80320,72635,3359,197,994,8,1336,1791
"ACSSF","ny","050","00","0000023",,,,,"36","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36021","Columbia County",,,"Columbia County, New York","36021","1643770717","35071400",,,,,,,,60016,648.2046,634.6635,13.54114,60016,52951,2512,53,1071,6,1216,2207
"ACSSF","ny","050","00","0000024",,,,,"36","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36023","Cortland County",,,"Cortland County, New York","36023","1291817953","7110638",,,,,,,,47618,501.5192,498.7737,2.745433,47618,44715,1016,56,454,5,326,1046
"ACSSF","ny","050","00","0000025",,,,,"36","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36025","Delaware County",,,"Delaware County, New York","36025","3736306657","64163829",,,,,,,,44676,1467.37,1442.596,24.77379,44676,41874,822,53,366,3,458,1100
"ACSSF","ny","050","00","0000026",,,,,"36","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36027","Dutchess County",,,"Dutchess County, New York","36027","2060721458","76913171",,,,,,,,293524,825.3453,795.649,29.69634,293524,225543,31432,857,10098,126,10673,14795
"ACSSF","ny","050","00","0000027",,,,,"36","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36029","Erie County",,,"Erie County, New York","36029","2700660508","476879106",,,,,,,,918873,1226.855,1042.731,184.1241,918873,708351,120535,4446,34873,272,19939,30457
"ACSSF","ny","050","00","0000028",,,,,"36","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36031","Essex County",,,"Essex County, New York","36031","4646753187","316350557",,,,,,,,37281,1916.265,1794.122,122.1436,37281,34659,1195,81,102,19,514,711
"ACSSF","ny","050","00","0000029",,,,,"36","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36033","Franklin County",,,"Franklin County, New York","36033","4219857155","176622254",,,,,,,,50389,1697.49,1629.296,68.19424,50389,41452,2842,3130,552,74,1154,1185
"ACSSF","ny","050","00","0000030",,,,,"36","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36035","Fulton County",,,"Fulton County, New York","36035","1283234687","96916403",,,,,,,,53452,532.8793,495.4597,37.41963,53452,49696,993,202,399,29,376,1757
"ACSSF","ny","050","00","0000031",,,,,"36","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36037","Genesee County",,,"Genesee County, New York","36037","1276705561","6137411",,,,,,,,57554,495.3084,492.9388,2.369668,57554,52650,1307,409,462,0,841,1885
"ACSSF","ny","050","00","0000032",,,,,"36","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36039","Greene County",,,"Greene County, New York","36039","1676140499","28201061",,,,,,,,47335,658.05,647.1615,10.88849,47335,41871,2728,345,493,9,597,1292
"ACSSF","ny","050","00","0000033",,,,,"36","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36041","Hamilton County",,,"Hamilton County, New York","36041","4447989312","234204424",,,,,,,,4454,1807.805,1717.378,90.42683,4454,4229,24,16,2,0,8,175
